2021-07-05 17:34:47.091 INFO  [67828] Logger 0 Initialized
2021-07-05 17:37:11.449 INFO  [49424] Logger 0 Initialized
2021-07-05 17:39:58.749 INFO  [61844] Logger 0 Initialized
2021-07-05 17:52:14.315 INFO  [70384] Logger 0 Initialized
2021-07-05 17:54:42.733 INFO  [66756] Logger 0 Initialized
2021-07-05 19:56:17.652 INFO  [66352] Logger 0 Initialized
2021-07-05 19:59:56.608 INFO  [54432] Logger 0 Initialized
2021-07-05 20:02:52.258 INFO  [49176] Logger 0 Initialized
2021-07-05 20:03:49.203 INFO  [14840] Logger 0 Initialized
2021-07-05 23:38:41.744 INFO  [54308] Logger 0 Initialized
2021-07-05 23:41:19.923 INFO  [54824] Logger 0 Initialized
2021-07-06 10:25:28.570 INFO  [65240] Logger 0 Initialized
2021-07-06 13:43:59.994 INFO  [1880] Logger 0 Initialized
2021-07-06 13:51:27.602 INFO  [4456] Logger 0 Initialized
2021-07-06 14:54:12.284 INFO  [12032] Logger 0 Initialized
2021-07-06 16:11:29.744 INFO  [17404] Logger 0 Initialized
2021-07-07 03:05:33.794 INFO  [6972] Logger 0 Initialized
2021-07-07 03:05:41.964 INFO  [3696] Logger 0 Initialized
2021-07-07 03:12:09.367 INFO  [13564] Logger 0 Initialized
2021-07-07 03:14:13.259 INFO  [17672] Logger 0 Initialized
2021-07-07 17:55:32.355 INFO  [10672] Logger 0 Initialized
2021-07-07 20:12:58.654 INFO  [12608] Logger 0 Initialized
2021-07-07 20:15:04.843 INFO  [17288] Logger 0 Initialized
2021-07-07 20:19:43.968 INFO  [11876] Logger 0 Initialized
2021-07-07 20:29:25.231 INFO  [16704] Logger 0 Initialized
2021-07-07 20:53:08.967 INFO  [14992] Logger 0 Initialized
2021-07-07 20:54:00.364 INFO  [11716] Logger 0 Initialized
2021-07-07 20:57:08.340 INFO  [17308] Logger 0 Initialized
2021-07-07 20:57:22.372 INFO  [1420] Logger 0 Initialized
2021-07-07 20:57:40.955 INFO  [9368] Logger 0 Initialized
2021-07-07 20:58:12.467 INFO  [17576] Logger 0 Initialized
2021-07-07 21:03:02.198 INFO  [16972] Logger 0 Initialized
2021-07-07 21:04:29.251 INFO  [16080] Logger 0 Initialized
2021-07-07 21:13:06.180 INFO  [804] Logger 0 Initialized
2021-07-07 21:14:21.600 INFO  [10140] Logger 0 Initialized
2021-07-07 21:16:36.905 INFO  [10932] Logger 0 Initialized
2021-07-07 21:17:12.511 INFO  [4392] Logger 0 Initialized
2021-07-07 21:19:11.221 INFO  [16596] Logger 0 Initialized
2021-07-07 21:29:47.255 INFO  [13372] Logger 0 Initialized
2021-07-07 21:33:01.432 INFO  [4968] Logger 0 Initialized
2021-07-07 21:34:09.427 INFO  [16488] Logger 0 Initialized
2021-07-07 21:41:51.177 INFO  [15828] Logger 0 Initialized
2021-07-07 22:36:45.165 INFO  [5164] Logger 0 Initialized
2021-07-07 22:38:45.149 INFO  [18068] Logger 0 Initialized
2021-07-07 22:40:50.752 INFO  [18808] Logger 0 Initialized
2021-07-07 22:41:37.496 INFO  [18320] Logger 0 Initialized
2021-07-07 22:44:30.491 INFO  [15512] Logger 0 Initialized
2021-07-07 22:47:10.073 INFO  [6612] Logger 0 Initialized
2021-07-07 22:54:50.565 INFO  [17280] Logger 0 Initialized
2021-07-07 23:08:32.701 INFO  [16280] Logger 0 Initialized
2021-07-07 23:10:13.262 INFO  [18000] Logger 0 Initialized
2021-07-07 23:11:43.969 INFO  [13464] Logger 0 Initialized
2021-07-07 23:13:55.097 INFO  [16304] Logger 0 Initialized
2021-07-07 23:15:03.537 INFO  [14332] Logger 0 Initialized
2021-07-07 23:16:51.577 INFO  [16280] Logger 0 Initialized
2021-07-07 23:19:17.988 INFO  [4700] Logger 0 Initialized
2021-07-07 23:24:18.091 INFO  [6732] Logger 0 Initialized
2021-07-07 23:24:29.526 INFO  [11600] Logger 0 Initialized
2021-07-07 23:27:06.094 INFO  [3464] Logger 0 Initialized
2021-07-07 23:27:26.059 INFO  [15588] Logger 0 Initialized
2021-07-07 23:49:19.448 INFO  [17104] Logger 0 Initialized
2021-07-07 23:52:26.289 INFO  [2576] Logger 0 Initialized
2021-07-08 00:13:48.122 INFO  [17560] Logger 0 Initialized
2021-07-08 00:15:45.464 INFO  [18684] Logger 0 Initialized
2021-07-08 00:34:03.656 INFO  [19368] Logger 0 Initialized
2021-07-08 00:44:13.447 INFO  [14876] Logger 0 Initialized
2021-07-08 00:46:40.058 INFO  [13484] Logger 0 Initialized
2021-07-08 00:47:50.160 INFO  [6848] Logger 0 Initialized
2021-07-08 00:49:37.471 INFO  [17880] Logger 0 Initialized
2021-07-08 00:55:23.704 INFO  [5656] Logger 0 Initialized
2021-07-08 01:07:42.417 INFO  [15412] Logger 0 Initialized
2021-07-08 01:14:22.476 INFO  [11620] Logger 0 Initialized
2021-07-08 01:15:35.490 INFO  [19376] Logger 0 Initialized
2021-07-08 01:19:55.412 INFO  [16376] Logger 0 Initialized
2021-07-08 01:21:41.666 INFO  [4740] Logger 0 Initialized
2021-07-08 01:21:51.705 INFO  [19084] Logger 0 Initialized
2021-07-08 01:26:14.042 INFO  [8892] Logger 0 Initialized
2021-07-08 01:30:28.759 INFO  [16420] Logger 0 Initialized
2021-07-08 01:33:51.096 INFO  [16144] Logger 0 Initialized
2021-07-08 01:45:26.787 INFO  [3356] Logger 0 Initialized
2021-07-08 02:34:57.002 INFO  [8820] Logger 0 Initialized
2021-07-08 02:41:47.712 INFO  [16188] Logger 0 Initialized
2021-07-08 02:44:47.604 INFO  [8864] Logger 0 Initialized
2021-07-08 02:54:28.075 INFO  [14080] Logger 0 Initialized
2021-07-08 02:58:40.472 INFO  [9092] Logger 0 Initialized
2021-07-08 03:29:26.071 INFO  [9432] Logger 0 Initialized
2021-07-08 03:29:59.570 INFO  [14748] Logger 0 Initialized
2021-07-08 03:30:28.428 INFO  [17952] Logger 0 Initialized
2021-07-08 04:28:39.310 INFO  [17628] Logger 0 Initialized
2021-07-08 04:29:04.643 INFO  [16300] Logger 0 Initialized
2021-07-08 04:30:45.604 INFO  [4264] Logger 0 Initialized
2021-07-08 04:31:24.008 INFO  [6508] Logger 0 Initialized
2021-07-08 04:43:20.807 INFO  [12984] Logger 0 Initialized
2021-07-08 04:45:28.487 INFO  [6896] Logger 0 Initialized
2021-07-08 04:49:04.772 INFO  [8580] Logger 0 Initialized
2021-07-08 04:51:23.963 INFO  [2636] Logger 0 Initialized
2021-07-08 04:55:51.249 INFO  [15616] Logger 0 Initialized
2021-07-08 05:02:24.796 INFO  [15136] Logger 0 Initialized
2021-07-08 05:05:54.416 INFO  [8368] Logger 0 Initialized
2021-07-08 05:08:32.650 INFO  [18772] Logger 0 Initialized
2021-07-08 05:10:53.962 INFO  [880] Logger 0 Initialized
2021-07-08 05:12:12.338 INFO  [9784] Logger 0 Initialized
2021-07-08 05:16:29.635 INFO  [6344] Logger 0 Initialized
2021-07-08 05:18:28.798 INFO  [11804] Logger 0 Initialized
2021-07-08 05:19:23.877 INFO  [19100] Logger 0 Initialized
2021-07-08 05:22:18.054 INFO  [16360] Logger 0 Initialized
2021-07-08 05:23:36.010 INFO  [10124] Logger 0 Initialized
2021-07-08 05:24:53.255 INFO  [15508] Logger 0 Initialized
2021-07-08 05:26:23.715 INFO  [14144] Logger 0 Initialized
2021-07-08 05:27:44.467 INFO  [3944] Logger 0 Initialized
2021-07-08 05:29:37.257 INFO  [14100] Logger 0 Initialized
2021-07-08 05:30:21.748 INFO  [5680] Logger 0 Initialized
2021-07-08 05:37:23.240 INFO  [16572] Logger 0 Initialized
2021-07-08 05:43:25.134 INFO  [3944] Logger 0 Initialized
2021-07-08 06:54:49.553 INFO  [1112] Logger 0 Initialized
2021-07-08 06:55:45.515 INFO  [15784] Logger 0 Initialized
2021-07-08 07:06:12.028 INFO  [12816] Logger 0 Initialized
2021-07-08 07:06:43.046 INFO  [17244] Logger 0 Initialized
2021-07-08 07:06:57.892 INFO  [19360] Logger 0 Initialized
2021-07-08 07:16:52.638 INFO  [16056] Logger 0 Initialized
2021-07-08 07:17:03.321 INFO  [10100] Logger 0 Initialized
2021-07-08 07:23:45.919 INFO  [1704] Logger 0 Initialized
2021-07-08 07:33:33.138 INFO  [11576] Logger 0 Initialized
2021-07-08 07:41:43.283 INFO  [15560] Logger 0 Initialized
2021-07-08 07:52:13.265 INFO  [17400] Logger 0 Initialized
2021-07-08 08:06:04.958 INFO  [18484] Logger 0 Initialized
2021-07-08 08:25:09.082 INFO  [2480] Logger 0 Initialized
2021-07-08 08:36:02.613 INFO  [10036] Logger 0 Initialized
2021-07-08 08:50:29.958 INFO  [8024] Logger 0 Initialized
2021-07-08 09:22:51.757 INFO  [14244] Logger 0 Initialized
2021-07-08 09:38:57.540 INFO  [18180] Logger 0 Initialized
2021-07-08 10:07:53.792 INFO  [14688] Logger 0 Initialized
2021-07-08 10:08:49.602 INFO  [9720] Logger 0 Initialized
2021-07-08 13:51:18.068 INFO  [10444] Logger 0 Initialized
2021-07-08 14:03:25.797 INFO  [14952] Logger 0 Initialized
2021-07-08 14:08:20.225 INFO  [14052] Logger 0 Initialized
2021-07-08 14:17:59.162 INFO  [15812] Logger 0 Initialized
2021-07-08 14:21:35.429 INFO  [12556] Logger 0 Initialized
2021-07-08 14:25:36.594 INFO  [6344] Logger 0 Initialized
2021-07-08 14:39:31.968 INFO  [7488] Logger 0 Initialized
2021-07-08 14:52:33.852 INFO  [872] Logger 0 Initialized
2021-07-08 15:05:41.138 INFO  [1576] Logger 0 Initialized
2021-07-08 15:18:24.352 INFO  [12668] Logger 0 Initialized
